userName,password,fullName,email,birthday,height,weight
aca,12345678,dsbdfb sfb,adiedri11@walla.com,06/10/2022,51,7
asca,12345678,dashbfz dfnf,bddfg@cvfsdv,06/10/2022,111,65
bfd,12345678,fdb dfb,bdsfsg@sfs,06/10/2022,121,74
aaa,12345678,dba dfn,bdfsdg@cvdfghv,06/10/2022,133,47
sss,12345678,sss ddf,bdsfg@bbb,06/10/2022,166,75
ddd,12345678,agag sfb,bfadg@aa,06/10/2022,189,85
fff,12345678,sfbs sfb,bdgfzf@cvdvzvv,06/10/2022,188,99
ggg,12345678,gg dgn,bdacag@cvdva,06/10/2022,180,87
hhh,12345678,shabck sdvsjk,bacadg@dmf,06/10/2022,170,89
qwq,12345678,avsd dva,bdsmfg@cvdbdsv,06/10/2022,178,66
wqe,12345678,htr dgnss,bdbdmg@cvdvm,06/10/2022,171,77
rqrqa,12345678,dsnd sdfnd,bdgetw@cvdvte,06/10/2022,190,87
dsbs,12345678,asa axa,betrdg@cvytytdv,06/10/2022,200,66
dsbsb,12345678,asad dsv,bdwreg@cvdv,06/10/2022,211,77
bbbb,12345678,saca dvs,bdjyu6g@gjrrndndcvdv,06/10/2022,188,87
